Num_Kids|Loan_ID|Gender|Married|Dependent_No|Education|Self_Employed|Applicant_Income|CoApplicant_Income|Loan_Amount|Loan_Amount_Term|Credit History|Property_District|Loan_Status
-|25268|Male|False|2|Not Graduate|True|16409|49204.0|20000|120|1|CCR|1
-|25269|Female|True|0|Not Graduate|True|21294|39672.0|50000|360|1|RCR|1
-|25270|Male|True|4|Not Graduate|True|27381|14887.0|30000|120|1|CCR|1
-|25271|Male|True|4|Graduate|True|57835|23944.0|40000|120|1|RCR|1
-|25272|Female|True|3|Not Graduate|True|74376|43689.0|20000|60|1|CCR|1
-|25273|Male|False|2|Not Graduate|True|82431|2056.0|40000|300|0|OCR|1
-|25274|Female|True|3|Graduate|True|82438|36877.0|60000|120|1|OCR|0
-|25275|Male|False|4|Not Graduate|False|15870|43533.0|40000|360|1|OCR|0
-|25276|Male|True|2|Not Graduate|True|73700|46066.0|60000|300|1|CCR|0
-|25277|Male|True|1|Graduate|True|6407|43988.0|20000|240|0|OCR|1
-|25278|Male|False|3|Not Graduate|True|63888|16365.0|50000|60|1|RCR|0
-|25280|Male|False|2|Graduate|True|62802|6805.0|20000|120|0|RCR|1
-|25281|Male|False|3|Graduate|False|36605||20000|240|1|OCR|1
-|25282|Male|True|3|Not Graduate|False|84071|41321.0|10000|300|1|OCR|1
-|25283|Female|False|0|Graduate|False|74411|49274.0|40000|180|1|OCR|1
-|25284|Male|False|4|Not Graduate|True|55969||30000|240|1|CCR|1
-|25285|Female|True|4|Not Graduate|False|47863|27181.0|50000|360|1|OCR|1
-|25286|Female|True|1|Not Graduate|True|38928|39703.0|20000|360|1|CCR|0
-|25287|Male|False|2|Graduate|False|33024|12337.0|10000|300|1|OCR|1
-|25288|Male|False|4|Graduate|True|99620|47166.0|50000|360|1|RCR|1
-|25289|Male|True|1|Not Graduate|False|28006|26434.0|60000|60|1|CCR|0
-|25290|Female|False|1|Not Graduate|True|36548|9338.0|20000|60|0|CCR|1
-|25291|Male|True|4|Not Graduate|False|63159|6183.0|60000|180|1|OCR|0
-|25292|Male|True|1|Not Graduate|False|58712|24838.0|20000|240|1|CCR|1
-|25295|Male|True|4|Not Graduate|False|24327|14047.0|50000|120|1|OCR|1
-|25296|Male|True|0|Graduate|False|37524|48638.0|30000|300|0|OCR|1
-|25297|Female|False|4|Not Graduate|True|48928|12018.0|60000|300|1|OCR|1
-|25298|Female|True|0|Graduate|True|75455|44427.0|50000|240|1|OCR|1
-|25299|Male|False|3|Graduate|True|45024|3087.0|10000|240|1|OCR|1
-|25300|Female|False|2|Graduate|True|55891|25676.0|60000|240|0|RCR|1
-|25301|Female|False|2|Graduate|True|44979|29530.0|60000|120|1|RCR|0
-|25302|Male|False|1|Not Graduate|True|31459|36725.0|10000|120|1|OCR|1
-|25303|Male|True|3|Graduate|False|9314||20000|360|1|OCR|1
-|25304|Female|False|0|Graduate|False|51927|36553.0|40000|60|1|OCR|1
-|25305|Female|True|3|Not Graduate|True|34506|1357.0|30000|300|1|RCR|1
-|25306|Female|True|1|Graduate|True|54266||60000|120|0|CCR|1
-|25307|Male|True|3|Not Graduate|True|21579|7408.0|50000|60|0|OCR|1
-|25308|Female|True|0|Not Graduate|True|98397|15142.0|10000|120|0|CCR|0
-|25309|Female|True|3|Not Graduate|True|83855|33138.0|60000|300|1|RCR|1
-|25310|Female|False|2|Not Graduate|True|33219|4978.0|20000|180|1|RCR|1
-|25311|Male|True|3|Graduate|False|28350|2605.0|20000|300|1|RCR|0
-|25313|Male|False|0|Graduate|True|10883||20000|60|0|OCR|1
-|25314|Male|False|0|Graduate|True|68830|17840.0|60000|240|1|OCR|0
-|25315|Male|False|0|Graduate|True|1324|6993.0|30000|300|1|CCR|0
-|25316|Male|False|4|Graduate|True|11837|37918.0|30000|120|1|OCR|1
-|25317|Male|False|2|Not Graduate|False|20118|45418.0|20000|180|1|CCR|0
-|25318|Female|False|1|Not Graduate|True|3528|17925.0|10000|300|1|CCR|1
-|25320|Female|True|4|Graduate|True|93117|33651.0|10000|180|1|CCR|1
-|25322|Female|True|3|Graduate|True|20317|12750.0|60000|240|0|RCR|0
-|25323|Male|True|1|Graduate|True|47306|9532.0|10000|120|1|OCR|1
-|25324|Female|True|3|Not Graduate|False|9186|20035.0|10000|240|1|OCR|1
-|25325|Male|True|4|Not Graduate|True|20963||10000|180|1|OCR|1
-|25326|Male|True|1|Not Graduate|True|81809||30000|360|1|OCR|1
-|25327|Male|False|2|Graduate|True|12231||40000|180|1|RCR|1
-|25328|Male|True|1|Graduate|True|33961|17704.0|30000|240|1|OCR|1
-|25329|Female|True|4|Not Graduate|False|10783|5137.0|60000|120|1|OCR|1
-|25331|Male|False|0|Not Graduate|True|8507|40506.0|60000|60|1|OCR|1
-|25332|Male|False|3|Not Graduate|True|45433|5050.0|10000|120|1|OCR|1
-|25334|Male|True|1|Not Graduate|False|57140|41029.0|50000|180|1|OCR|1
-|25335|Male|False|4|Not Graduate|True|60474||30000|120|1|OCR|1
-|25336|Male|False|0|Graduate|False|94628|24329.0|20000|360|0|OCR|1
-|25337|Female|True|2|Not Graduate|False|1527|29973.0|60000|60|0|OCR|1
-|25338|Female|False|0|Graduate|True|97533|43529.0|50000|240|1|RCR|0
-|25339|Female|True|2|Not Graduate|True|32148|32577.0|10000|360|0|OCR|1
-|25340|Male|False|0|Not Graduate|True|64086|25480.0|10000|240|0|OCR|1
-|25341|Male|True|0|Not Graduate|False|36178|38148.0|30000|360|1|CCR|1
-|25342|Male|False|0|Graduate|True|64463|49303.0|40000|180|0|OCR|1
-|25343|Male|True|3|Not Graduate|False|14903|42404.0|50000|240|0|OCR|1
-|25345|Male|False|0|Not Graduate|True|9593|27807.0|60000|120|1|OCR|1
-|25346|Male|True|1|Not Graduate|False|92947|38814.0|60000|240|1|CCR|0
-|25348|Male|False|0|Not Graduate|True|67616||40000|360|1|CCR|1
-|25349|Female|True|2|Graduate|True|4306|20946.0|30000|240|1|OCR|1
-|25350|Male|True|2|Graduate|True|26012|16957.0|10000|120|0|OCR|0
-|25351|Male|True|4|Not Graduate|True|91907|27935.0|40000|120|0|CCR|0
-|25353|Female|True|3|Not Graduate|False|94754||30000|60|0|OCR|1
-|25354|Male|False|2|Not Graduate|True|56232|39261.0|60000|360|0|CCR|1
-|25355|Female|False|3|Graduate|True|26681|48834.0|30000|180|1|OCR|1
-|25357|Male|False|2|Not Graduate|False|88935|38885.0|40000|120|1|OCR|1
-|25358|Male|True|1|Not Graduate|True|58645|42227.0|40000|120|1|RCR|0
-|25359|Male|False|3|Not Graduate|True|96571|29649.0|60000|120|1|OCR|0
-|25361|Male|True|4|Not Graduate|False|86583|10366.0|20000|360|1|CCR|1
-|25365|Male|True|0|Graduate|False|89180|30870.0|40000|360|0|OCR|1
-|25366|Male|False|3|Not Graduate|False|23229|12571.0|30000|360|0|OCR|0
-|25367|Male|False|1|Not Graduate|True|7794|14686.0|50000|240|1|CCR|1
-|25368|Female|False|3|Graduate|True|90014|24445.0|10000|360|0|RCR|1
-|25369|Male|True|0|Not Graduate|False|67970|16703.0|10000|360|1|OCR|1
-|25370|Male|False|0|Not Graduate|True|63940|27917.0|20000|360|1|OCR|0
-|25371|Female|True|2|Not Graduate|False|70141|20049.0|40000|360|1|OCR|0
-|25372|Female|True|1|Graduate|False|56425|25368.0|10000|120|1|OCR|1
-|25374|Male|False|3|Graduate|False|58441|2540.0|20000|60|0|OCR|1
-|25375|Male|True|3|Not Graduate|False|24761|7184.0|30000|60|1|OCR|1
-|25376|Male|False|2|Not Graduate|False|83859|6106.0|40000|240|1|RCR|1
-|25377|Male|False|3|Graduate|False|73173|39024.0|50000|120|0|CCR|0
-|25378|Female|False|4|Graduate|True|85351|1409.0|60000|60|1|OCR|0
-|25380|Male|False|4|Not Graduate|True|25239|19642.0|50000|240|0|RCR|1
-|25381|Male|False|2|Graduate|True|18341|39384.0|10000|120|1|RCR|1
-|25382|Female|False|0|Not Graduate|True|30696|38663.0|10000|120|0|OCR|0
-|25383|Female|False|0|Graduate|False|66591|13751.0|20000|300|1|RCR|1
-|25385|Male|True|2|Graduate|True|49351|3393.0|30000|360|1|OCR|0
-|25386|Female|False|4|Graduate|False|16217|49398.0|10000|300|1|RCR|1
-|25387|Male|True|3|Not Graduate|False|45047|27109.0|50000|180|1|OCR|1
-|25388|Female|False|3|Not Graduate|False|84232|11238.0|50000|60|1|CCR|1
-|25389|Female|False|2|Graduate|False|68431|2063.0|30000|300|1|CCR|1
-|25391|Female|False|1|Not Graduate|True|73460|3334.0|50000|60|1|OCR|1
-|25392|Male|True|4|Not Graduate|True|33070|16092.0|10000|60|0|RCR|1
-|25393|Male|True|1|Not Graduate|True|96189||50000|120|0|OCR|1
-|25394|Male|False|0|Graduate|True|26528|33954.0|40000|180|1|RCR|0
-|25395|Male|True|2|Graduate|False|50410|48849.0|40000|300|0|OCR|0
-|25396|Female|False|1|Not Graduate|False|76139|13143.0|10000|60|0|CCR|1
-|25400|Female|False|0|Graduate|False|26499||40000|360|1|CCR|0
-|25401|Male|True|0|Graduate|False|24964|17944.0|10000|300|1|OCR|1
-|25402|Male|False|1|Not Graduate|False|53246|48779.0|50000|120|0|RCR|1
-|25403|Male|False|4|Not Graduate|True|90902|36205.0|60000|120|0|OCR|1
